monarchrunid,ctmmlabel,ctmmsuccess,map,year,monarchid,runid,releasesiteid_arcmap,releasesiteid_repid,releasesiteid,monarchcatchsite,monarchcatchdate,monarchmass,trialdate,dayscaptive,trialsite,samecatchtrial,attachment,transmitterid,transantenna,experiment,temp,tempc,cloud,windspeed,windkph,winddirection,starttime,endtime,timeobs,secobserved,numpoints,firstlandon,15mindud,dudtime,finaldud,Responsiveness,Release,releaselandclass,releaseN,releaseE,lastN,lastE,lastlandcover,euclidiandistance,euclidianbearing,total.distance,stepover50,stepclass50,numstepsover50,stepover100,avgstep,turnstdev,step01,step02,step03,step04,step05,step06,step07,step08,step09,step10,step11,step12,step13,step14,step15,step16,step17,step18,step19,step20,step21,step22,step23,step24,step25,step26,step27,step28,step29,step30,step31,step32,step33,step34,step35,turn01,turn02,turn03,turn04,turn05,turn06,turn07,turn08,turn09,turn10,turn11,turn12,turn13,turn14,turn15,turn16,turn17,turn18,turn19,turn20,turn21,turn22,turn23,turn24,turn25,turn26,turn27,turn28,turn29,turn30,turn31,turn32,turn33,turn34,bearing01,bearing02,bearing03,bearing04,bearing05,bearing06,bearing07,bearing08,bearing09,bearing10,bearing11,bearing12,bearing13,bearing14,bearing15,bearing16,bearing17,bearing18,bearing19,bearing20,bearing21,bearing22,bearing23,bearing24,bearing25,bearing26,bearing27,bearing28,bearing29,bearing30,bearing31,bearing32,bearing33,bearing34,bearing35,windbearing,remaincross,freqcross,timebefore50mstep,timebeforecross,totalpts,croppts,edge5mpts,poorpts,richpts,totaltime,croptime,edge5mtime,poortime,richtime,firstbigsteplength,durationtofirstbigstep,stepspriortofirstbig,bigcrossfrom,bigcrossto,biginitiatefromrelease
20088b,hi,dud,dud,2020,20088,b,,,2,jesse,7/29/2020,0.2185,8/1/2020,3,west,n,transmitter,165.464,straight,roadside,82.5,28.05555556,mostly clear,4.4,7.0796,SE,14:06:00,14:36:00,0:30:00,1800,0,,dud,15,dud,Unresponsive,west,poor,NA,NA,NA,NA,,NA,NA,NA,under50,< 50 m,,under100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,135,,,,,,,,,,,,,,,,,,,,
20090b,hl,dud,dud,2020,20090,b,,,2,ad prairie,7/30/2020,0.2331,8/1/2020,2,west,n,transmitter,165.464,straight,roadside,83,28.33333333,mostly clear,3.1,4.9879,SE,13:29:00,13:59:00,0:30:00,1800,0,,dud,15,dud,Unresponsive,west,poor,NA,NA,NA,NA,,NA,NA,NA,under50,< 50 m,,under100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,135,,,,,,,,,,,,,,,,,,,,
20096a,hr,dud,dud,2020,20096,a,,,2,jesse,7/30/2020,0.1565,8/1/2020,2,west,n,transmitter,165.464,straight,roadside,79,26.11111111,mostly clear,5.5,8.8495,SE,12:17:00,12:47:00,0:30:00,1800,0,,dud,15,dud,Unresponsive,west,poor,NA,NA,NA,NA,,NA,NA,NA,under50,< 50 m,,under100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,135,,,,,,,,,,,,,,,,,,,,
20097a,hs,dud,dud,2020,20097,a,,,2,ad prairie,8/1/2020,NA,8/4/2020,3,west,n,transmitter,165.46,straight,roadside,71.5,21.94444444,mostly cloudy,0,0,SW,11:19:00,11:34:00,0:15:00,900,0,,dud,15,dud,Unresponsive,west,poor,NA,NA,NA,NA,,NA,NA,NA,under50,< 50 m,,under100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,225,,,,,,,,,,,,,,,,,,,,
20098a,hu,dud,dud,2020,20098,a,,,2,jesse,8/2/2020,0.1474,8/4/2020,2,west,n,transmitter,165.46,straight,roadside,73,22.77777778,mostly clear,1,1.609,SW,11:42:00,11:57:00,0:15:00,900,0,,dud,15,dud,Unresponsive,west,poor,NA,NA,NA,NA,,NA,NA,NA,under50,< 50 m,,under100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,225,,,,,,,,,,,,,,,,,,,,
20101a,hv,dud,dud,2020,20101,a,,,2,jesse,8/2/2020,0.1683,8/4/2020,2,west,n,transmitter,165.46,straight,roadside,74,23.33333333,mostly clear,2.9,4.6661,SW,13:01:00,13:16:00,0:15:00,900,0,,dud,15,dud,Unresponsive,west,poor,NA,NA,NA,NA,,NA,NA,NA,under50,< 50 m,,under100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,225,,,,,,,,,,,,,,,,,,,,
20104a,hw,dud,dud,2020,20104,a,,,2,jesse,8/2/2020,0.1412,8/4/2020,2,west,n,transmitter,165.46,straight,roadside,75,23.88888889,mostly clear,2.6,4.1834,SW,12:10:00,12:55:00,0:45:00,2700,0,,fly,30,dud,Responsive,west,poor,NA,NA,NA,NA,,NA,NA,NA,under50,< 50 m,,under100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,225,,,,,,,,,,,,,,,,,,,,
19026a,ac,yes,yes,2019,19026,a,,9,NA,GM,6/28/2019,NA,7/2/2019,4,GM,y,none,NA,,habitatutilization,84,28.88888889,mostly clear,1.5,2.4135,E,11:05:00,11:07:00,0:02:00,120,4,vegetation,fly,NA,fly,Responsive,corn,crop,4751966.19,525736.927,525861.262,4751969.882,na,124.389803,88.29916051,192.9039667,over50,> 50 m,2,over100,64.30132222,19.76010572,68.06238064,103.3391759,21.50241012,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15.01990323,-12.92510627,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,75.49518212,90.51508536,77.58997908,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,90,cross,2,38,38,4,1,1,0,2,45,38,3,0,4,68.06238064,38,0,crop,rich,yes
19034a,ae,yes,yes,2019,19034,a,2,9,NA,Jesse,6/30/2019,0.3262,7/2/2019,2,GM,n,none,NA,,habitatutilization,78.8,26,mostly cloudy,1.3,2.0917,E,10:23:00,10:50:00,0:27:00,1620,10,bare ground,fly,NA,fly,Responsive,corn,crop,4751949.934,525673.12,525671.323,4752005.103,corn,55.19825876,358.1343848,91.30701918,under50,< 50 m,0,under100,10.14522435,65.46983023,0.856572239,3.610551897,4.170598279,2.196388172,9.586322392,19.69282562,9.399814093,4.041554775,37.75239171,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,62.98406666,73.21102715,-1.894249835,-95.9620295,-65.90809745,-64.98916317,-28.52338144,51.80536511,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,50.39997342,113.3840401,186.5950672,184.7008174,88.7387879,22.83069044,317.8415273,289.3181458,341.1235109,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,90,cross,2,,1163,10,6,1,0,3,1334,1164,10,0,160,,,,,,
19055a,aq,yes,yes,2019,19055,a,1,7,9,GM,7/15/2019,NA,7/18/2019,3,GM,y,none,NA,,habitatutilization,89.2,31.77777778,mostly cloudy,3.1,4.9879,N,12:29:00,12:40:22,0:11:22,682,6,wild bergamot,fly,NA,fly,Responsive,corn,crop,4751773.08,525672.8631,525791.2999,4751949.341,prairie,212.3563414,33.89872875,212.4181647,over50,> 50 m,1,over100,106.2090823,NA,44.29209969,168.126065,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-3.402993622,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,36.59234407,33.18935045,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,cross,2,633,623,3,1,0,1,1,634,623,0,1,10,168.126065,633,2,rich,exit,no
19069a,ar,yes,yes,2019,19069,a,1,7,9,GM,7/16/2019,0.4613,7/18/2019,2,GM,y,none,NA,,habitatutilization,89.4,31.88888889,cloudy,5.5,8.8495,N,13:13:00,14:06:00,0:53:00,3180,23,grass,fly,NA,fly,Responsive,corn,crop,4751773.57,525672.7841,525728.2323,4751800.708,na,61.73308616,63.92149782,229.6794467,over50,> 50 m,1,under100,12.08839193,78.95989749,4.024182487,58.3354107,31.19314091,3.714324737,6.281483229,1.567567542,4.10193996,12.0291952,4.058591481,15.40720066,3.27442307,11.71382532,4.328760766,10.0839313,17.00919524,8.740210205,10.97306788,14.77111913,8.071876838,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-15.04065096,-23.2596305,-165.9502714,-166.6305183,75.76722909,-157.1896296,-156.2489,-43.91684334,-18.47947006,-19.92512349,65.66262669,67.77620265,5.607815563,19.16268402,-42.27610057,14.73316026,-61.94333699,-39.92345504,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,29.94426199,14.90361104,351.6439805,185.6937092,19.06319088,94.83041997,297.6407904,141.3918904,97.47504703,78.99557697,59.07045348,124.7330802,192.5092828,198.1170984,217.2797824,175.0036818,189.7368421,127.7935051,87.87005007,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,cross,5,72,72,20,2,4,0,14,2936,72,1218,0,1646,58.3354107,72,3,crop,rich,yes
19130a,bv,yes,yes,2019,19130,a,1,7,9,GM,7/23/2019,NA,7/24/2019,1,GM,y,none,NA,,habitatutilization,72.2,22.33333333,clear,1.3,2.0917,SE,9:17:00,9:29:50,0:12:50,770,2,corn,fly,NA,fly,Responsive,corn,crop,4751771.062,525675.8424,525676.71,4751766.497,prairie,4.646714404,169.2390045,4.646714404,under50,< 50 m,0,under100,4.646714404,NA,4.646714404,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,169.2390045,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,135,cross,1,,765,2,2,0,0,0,766,766,0,0,0,,,,,,
19131a,bw,no,yes,2019,19131,a,1,7,9,GM,7/23/2019,0.3355,7/24/2019,1,GM,y,transmitter,89,bent,habitatutilization,85.3,29.61111111,clear,0,0,SSE,10:55:00,11:22:20,0:27:20,1640,8,corn,fly,NA,fly,Responsive,corn,crop,4751771.196,525675.4279,525813.4922,4751756.037,na,138.8940107,96.26578741,150.47098,over50,> 50 m,1,under100,30.094196,97.83580992,1.920975505,3.967571046,30.47395556,96.29134185,17.81713603,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-175.9970762,-60.31232103,-8.192805983,54.94450378,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,332.1196305,156.1225543,95.81023332,87.61742733,142.5619311,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,157.5,cross,2,1035,855,6,3,0,2,1,1416,855,0,381,180,96.29134185,1035,4,rich,poor,no
19132a,bx,yes,yes,2019,19132,a,1,7,9,GM,7/23/2019,NA,7/24/2019,1,GM,y,transmitter,89,bent,habitatutilization,86.4,30.22222222,clear,1.3,2.0917,SE,11:50:00,12:04:53,0:14:53,893,6,bare ground,fly,NA,fly,Responsive,corn,crop,4751771.246,525676.1271,525781.7628,4751774.417,grass,105.6832832,88.28059667,117.383112,over50,> 50 m,1,under100,29.345778,18.33717466,0.424087208,0.560952904,80.07513593,36.32293597,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20.86704128,50.49428624,54.40032431,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.161972042,22.02901333,72.52329957,126.9236239,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,135,cross,2,301,301,5,3,0,1,1,852,301,0,1,550,80.07513593,301,2,crop,rich,yes
19134a,bz,no,yes,2019,19134,a,1,7,9,GM,7/23/2019,NA,7/24/2019,1,GM,y,transmitter,89,bent,habitatutilization,84.5,29.16666667,clear,1.7,2.7353,E,13:07:00,13:34:00,0:27:00,1620,12,corn,fly,NA,fly,Responsive,corn,crop,4751770.99,525675.5829,525312.7008,4751693.903,na,370.9795467,258.0069449,383.8894128,over50,> 50 m,1,over100,63.9815688,42.4856697,1.087410889,2.67627084,16.11159604,2.668163181,8.768964457,352.5770074,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-49.76139274,19.46347338,31.49271429,-26.29283767,53.30190126,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,233.6844108,183.923018,203.3864914,234.8792057,208.586368,261.8882693,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,90,cross,2,830,474,7,3,0,0,4,831,474,0,0,357,352.5770074,830,5,rich,exit,no
19136a,ca,yes,yes,2019,19136,a,1,7,9,GM,7/23/2019,0.3555,7/25/2019,2,GM,y,transmitter,11,bent,habitatutilization,74,23.33333333,mostly clear,2,3.218,N,9:27:00,9:56:00,0:29:00,1740,14,corn,fly,NA,fly,Responsive,corn,crop,4751770.968,525675.7506,525790.8361,4751774.038,na,115.1264401,88.47195052,131.1436943,under50,< 50 m,0,under100,10.08797648,67.28707501,8.030976768,4.110798352,5.573692134,2.765690375,0.861177618,1.693907483,6.008946215,15.2398139,0.930019575,9.044760652,20.16839679,18.28730715,38.42820724,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-65.18115427,58.6969136,24.70971435,32.64420343,1.382981401,-68.85489324,9.530969166,124.5140942,-119.6130622,-71.2460997,26.77193682,10.27675546,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,119.8889443,54.70779002,113.4047036,138.114418,170.7586214,172.1416028,103.2867096,112.8176787,237.3317729,117.7187107,46.47261103,73.24454785,83.52130331,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,cross,2,,307,14,3,1,1,9,1668,307,117,1,1243,,,,,,
19137a,cb,yes,yes,2019,19137,a,1,7,9,GM,7/23/2019,NA,7/25/2019,2,GM,y,transmitter,11,bent,habitatutilization,81,27.22222222,mostly clear,6.5,10.4585,NNE,11:12:00,11:44:00,0:32:00,1920,13,corn,fly,NA,fly,Responsive,corn,crop,4751770.432,525674.7839,525533.6238,4752595.011,na,836.5743847,350.2856725,876.7362301,over50,> 50 m,3,over100,79.70329365,67.57008317,0.330966705,2.248994276,4.714747171,5.139934338,35.03867167,58.74765249,6.956416642,9.682663677,62.29008774,9.37613113,682.2099643,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,58.5625822,-125.8161582,83.64369799,-99.97430629,-41.35953221,-43.83944458,29.41272156,17.22961653,-40.62209158,20.50039031,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,127.8324703,186.3950525,60.57889432,144.2225923,44.24828602,2.888753806,319.0493092,348.4620308,5.69164732,325.0695557,345.569946,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22.5,cross,2,972,600,11,5,0,0,6,972,600,0,0,372,58.74765249,807,5,rich,rich,no
19161a,cr,yes,yes,2019,19161,a,3,4,8,GM,8/1/2019,NA,8/2/2019,1,GM,y,transmitter,13,straight,habitatutilization,72,22.22222222,mostly clear,2,3.218,N,9:06:00,9:21:20,0:15:20,920,6,bare ground,fly,NA,fly,Responsive,corn,crop,4751780.584,525545.6888,525560.9526,4751780.955,prairie,15.26830807,88.60765015,18.70800894,under50,< 50 m,0,under100,3.741601787,73.28049087,1.937742566,5.96212286,5.023877968,3.027619527,2.756646014,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-45.877833,9.445652505,-29.04539114,117.2260012,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,119.5615061,73.68367309,83.1293256,54.08393446,171.3099357,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,cross,1,,829,6,6,0,0,0,910,910,0,0,0,,,,,,
19162a,cs,yes,yes,2019,19162,a,3,4,8,GM,8/1/2019,NA,8/2/2019,1,GM,y,transmitter,13,straight,habitatutilization,74.7,23.72222222,clear,4.2,6.7578,N,10:11:00,10:33:00,0:22:00,1320,5,corn,fly,NA,fly,Responsive,corn,crop,4751779.888,525546.0058,525571.7713,4751792.683,na,28.76756881,63.59126795,32.45744893,under50,< 50 m,0,under100,8.114362232,68.7123226,1.775639479,2.438312933,8.890996257,19.35250026,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-130.6548755,-5.880960874,-18.39054351,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,209.3974783,78.74260286,72.86164198,54.47109848,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,cross,1,,387,5,5,0,0,0,388,388,0,0,0,,,,,,
19191a,du,yes,yes,2019,19191,a,3,4,8,GM,8/6/2019,0.3263,8/8/2019,2,GM,y,transmitter,15,bent,habitatutilization,67,19.44444444,clear,3.1,4.9879,SSE,8:54:00,9:54,1:00:00,3600,12,grass,fly,NA,fly,Responsive,corn,crop,4751783.3,525545.561,525518.565,4751777.493,prairie,27.61349788,257.8603181,47.90853669,under50,< 50 m,0,under100,4.355321518,60.59264497,7.312062978,2.958929705,2.291791003,3.183924151,15.77009677,4.893138461,3.468120673,3.733405549,1.428608064,1.200221647,1.668237693,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18.41075968,-121.6453294,76.08552271,38.93775378,72.52724324,32.9023906,35.96506036,-56.80294727,-2.596471651,-17.65129432,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,226.5571394,244.9678991,123.3225697,199.4080924,238.3458462,310.8730894,343.77548,19.74054037,322.9375931,320.3411215,302.6898271,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,157.5,cross,1,,540,12,1,4,0,7,3513,540,1869,0,1104,,,,,,
19192a,dv,yes,yes,2019,19192,a,3,4,8,GM,8/6/2019,NA,8/8/2019,2,GM,y,transmitter,15,bent,habitatutilization,73.4,23,clear,0.4,0.6436,S,10:15:00,11:15:50,1:00:50,3650,8,corn,fly,NA,fly,Responsive,corn,crop,4751783.415,525545.117,525788.563,4751875.182,prairie,260.1675176,69.34605915,395.3035824,over50,> 50 m,1,over100,65.88393041,79.6872764,0.694057634,24.49872527,46.57864454,8.346215275,5.11485992,310.0710798,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-36.13168325,34.72686522,94.25639554,-70.51054671,112.5757333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,304.7891323,268.657449,303.3843143,37.6407098,327.1301631,79.70589639,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,180,cross,2,2927,649,7,2,0,4,1,2928,649,0,519,1760,310.0710798,2927,5,poor,poor,no
19193a,dw,yes,yes,2019,19193,a,3,4,8,GM,8/6/2019,NA,8/8/2019,2,GM,y,transmitter,15,bent,habitatutilization,79.1,26.16666667,clear,3.1,4.9879,SE,12:07:00,12:36:19,0:29:19,1759,9,bare ground,fly,NA,fly,Responsive,corn,crop,4751783.504,525545.509,525467.364,4751779.67,grass,78.23899655,267.1911701,143.5099662,under50,< 50 m,0,under100,17.93874577,60.65244207,0.19901005,24.57953913,29.94941288,0.987058762,12.0038922,2.362022227,33.51409524,39.91493568,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,129.9587282,45.78367533,92.36980244,15.97011994,8.444256545,-57.62606752,50.16403397,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,37.44571528,167.4044435,213.1881188,305.5579213,321.5280412,329.9722977,272.3462302,322.5102642,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,135,cross,1,,183,9,2,1,6,0,1666,158,25,1483,0,,,,,,
